Team,Location,Against,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
PHX,Home,MIL,240,114,41,91,45.1,7,22,31.8,25,31,80.6,17,39,56,22,10,10,14,23,W
PHX,Home,LAL,240,118,39,76,51.3,6,26,23.1,34,40,85,9,32,41,21,7,8,13,22,W
PHX,Home,NOP,240,116,40,94,42.6,12,34,35.3,24,28,85.7,12,27,39,25,17,2,19,21,L
PHX,Away,MIA,240,124,45,89,50.6,13,32,40.6,21,25,84,7,32,39,30,9,1,14,20,W
PHX,Away,ATL,240,112,41,93,44.1,13,37,35.1,17,20,85,6,35,41,25,9,4,12,29,L
PHX,Away,CLE,240,98,35,84,41.7,10,32,31.3,18,25,72,11,27,38,26,12,6,17,18,L
PHX,Away,LAC,240,107,40,86,46.5,8,30,26.7,19,25,76,8,28,36,24,6,4,17,23,L
PHX,Away,SAC,240,104,38,91,41.8,6,27,22.2,22,30,73.3,15,39,54,22,5,4,17,31,L
PHX,Home,GSW,240,107,39,101,38.6,6,31,19.4,23,30,76.7,19,29,48,23,12,1,12,28,L
PHX,Away,UTA,240,88,35,75,46.7,3,17,17.6,15,19,78.9,7,29,36,23,8,2,22,25,L
PHX,Home,HOU,240,110,45,84,53.6,7,25,28,13,18,72.2,9,29,38,29,9,1,17,20,L
PHX,Home,ATL,240,112,45,96,46.9,12,32,37.5,10,18,55.6,10,27,37,31,15,5,10,23,L
PHX,Away,SAS,240,124,48,80,60,13,29,44.8,15,19,78.9,3,35,38,26,8,5,18,22,L
PHX,Away,LAL,240,102,34,85,40,7,26,26.9,27,32,84.4,15,25,40,19,8,9,16,20,L
PHX,Away,DEN,240,95,32,76,42.1,7,30,23.3,24,26,92.3,2,33,35,20,4,7,16,25,L
PHX,Home,POR,240,106,36,88,40.9,13,38,34.2,21,27,77.8,9,30,39,19,9,4,16,22,L
PHX,Home,MIN,240,91,37,87,42.5,7,34,20.6,10,18,55.6,5,29,34,23,6,9,14,17,L
PHX,Away,MIN,240,114,40,86,46.5,12,39,30.8,22,32,68.8,9,29,38,22,9,5,16,27,L
PHX,Away,CHA,240,115,39,87,44.8,11,33,33.3,26,33,78.8,7,19,26,21,7,7,8,26,L
PHX,Away,TOR,240,109,36,84,42.9,9,30,30,28,36,77.8,15,31,46,18,9,8,16,21,L
PHX,Away,IND,240,97,40,95,42.1,8,27,29.6,9,18,50,10,33,43,26,8,6,19,30,L
PHX,Home,DEN,240,102,38,92,41.3,8,26,30.8,18,25,72,14,35,49,29,11,9,9,19,W
PHX,Away,DAL,240,94,36,84,42.9,7,25,28,15,21,71.4,7,30,37,22,10,8,15,34,L
PHX,Home,SAC,240,115,45,88,51.1,10,25,40,15,19,78.9,9,28,37,31,18,7,19,25,W
PHX,Home,CHA,240,113,43,83,51.8,10,25,40,17,19,89.5,3,33,36,23,8,4,15,25,L
PHX,Home,LAC,240,111,41,77,53.2,9,19,47.4,20,27,74.1,7,18,25,24,13,9,17,26,L
PHX,Home,PHI,240,127,43,95,45.3,11,34,32.4,30,36,83.3,13,24,37,22,10,3,15,34,L
PHI,Away,POR,240,95,34,96,35.4,8,43,18.6,19,27,70.4,9,27,36,18,15,2,11,21,L
PHI,Away,UTA,240,114,43,86,50,13,35,37.1,15,18,83.3,9,38,47,31,7,7,13,21,W
PHI,Away,BOS,265,114,38,92,41.3,15,40,37.5,23,29,79.3,9,47,56,25,6,4,19,21,L
PHI,Home,TOR,240,126,46,85,54.1,8,24,33.3,26,35,74.3,4,49,53,33,10,7,13,21,W
PHI,Home,NYK,240,131,47,88,53.4,15,30,50,22,25,88,9,42,51,31,6,4,10,22,W
PHI,Away,SAS,240,96,40,98,40.8,11,37,29.7,5,7,71.4,12,29,41,29,3,5,11,15,L
PHI,Away,CLE,240,128,51,91,56,11,27,40.7,15,20,75,12,36,48,32,5,9,11,18,W
PHI,Home,IND,240,101,36,88,40.9,9,36,25,20,27,74.1,17,32,49,17,5,5,16,21,L
