Team,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,WinsLosses
BKN,265,145,56,108,51.9,16,36,44.4,17,22,77.3,16,41,57,29,4,3,14,25,W
BKN,240,109,37,86,43,13,38,34.2,22,25,88,13,42,55,18,5,7,17,20,W
BKN,240,105,37,88,42,11,30,36.7,20,30,66.7,9,45,54,20,4,4,17,21,L
BKN,240,116,43,95,45.3,10,30,33.3,20,26,76.9,18,36,54,21,10,9,20,28,W
BKN,240,95,32,79,40.5,11,42,26.2,20,22,90.9,9,38,47,19,5,4,25,16,L
BKN,240,117,42,83,50.6,16,46,34.8,17,22,77.3,6,32,38,29,6,3,10,16,W
BKN,240,109,36,79,45.6,13,34,38.2,24,26,92.3,8,37,45,25,6,2,20,19,W
BKN,240,126,47,93,50.5,16,31,51.6,16,21,76.2,12,31,43,27,7,5,10,23,W
BOS,240,111,43,88,48.9,11,34,32.4,14,20,70,9,31,40,30,5,8,12,17,L
BOS,240,112,40,80,50,16,36,44.4,16,18,88.9,7,29,36,29,10,4,17,24,W
BOS,240,113,38,81,46.9,12,31,38.7,25,31,80.6,6,31,37,28,9,3,11,22,L
BOS,265,121,45,108,41.7,14,41,34.1,17,20,85,13,42,55,21,8,4,9,21,W
BOS,240,119,43,86,50,13,39,33.3,20,25,80,11,36,47,30,8,4,14,22,W
BOS,240,107,35,91,38.5,10,34,29.4,27,36,75,9,27,36,22,13,3,5,16,L
BOS,240,103,38,85,44.7,15,39,38.5,12,14,85.7,9,28,37,26,13,15,16,17,L
BOS,240,104,39,94,41.5,9,33,27.3,17,23,73.9,12,32,44,19,11,4,14,25,L
BOS,240,129,46,95,48.4,19,39,48.7,18,20,90,13,34,47,28,15,9,22,21,W
BOS,265,130,47,104,45.2,11,38,28.9,25,25,100,14,36,50,20,6,2,14,19,W
BOS,240,113,44,90,48.9,12,39,30.8,13,19,68.4,14,37,51,23,8,5,15,21,W
BOS,240,133,50,93,53.8,22,43,51.2,11,15,73.3,13,41,54,34,10,4,7,14,W
BOS,240,128,49,92,53.3,13,38,34.2,17,20,85,7,39,46,32,8,6,9,24,W
BOS,240,118,40,85,47.1,17,44,38.6,21,21,100,7,33,40,30,9,3,14,25,W
BOS,240,128,49,92,53.3,17,31,54.8,13,16,81.3,12,35,47,30,4,4,10,27,W
BOS,240,124,48,97,49.5,19,39,48.7,9,10,90,14,28,42,27,14,4,15,25,W
BOS,240,104,41,86,47.7,10,28,35.7,12,13,92.3,9,33,42,19,8,3,18,21,L
BOS,240,114,42,91,46.2,13,40,32.5,17,21,81,7,36,43,31,11,7,16,29,W
