Team,Matchup,Date,Unknown,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,Diff
MIL,MIL @ DET,4/22/2019,,W,240,127,43,79,54.4,10,28,35.7,31,41,75.6,10,44,54,27,6,10,19,21,23
MIL,MIL @ DET,4/20/2019,,W,240,119,42,86,48.8,14,38,36.8,21,24,87.5,13,38,51,24,5,6,16,22,16
MIL,MIL vs. DET,4/17/2019,,W,240,120,47,90,52.2,11,26,42.3,15,21,71.4,8,46,54,32,5,11,13,21,21
MIL,MIL vs. DET,4/14/2019,,W,240,121,44,90,48.9,15,43,34.9,18,26,69.2,8,46,54,31,7,8,10,16,35
LAC,LAC vs. GSW,4/26/2019,,L,240,110,38,96,39.6,11,32,34.4,23,28,82.1,16,33,49,22,7,5,15,26,-19
LAC,LAC @ GSW,4/24/2019,,W,240,129,46,85,54.1,13,34,38.2,24,26,92.3,9,33,42,29,3,1,14,23,8
LAC,LAC vs. GSW,4/21/2019,,L,240,105,34,80,42.5,13,31,41.9,24,32,75,4,29,33,22,8,4,10,21,-8
LAC,LAC vs. GSW,4/18/2019,,L,240,105,35,94,37.2,7,32,21.9,28,34,82.4,16,27,43,21,6,2,13,25,-27
LAC,LAC @ GSW,4/15/2019,,W,240,135,48,85,56.5,14,31,45.2,25,31,80.6,8,26,34,34,14,1,20,33,4
LAC,LAC @ GSW,4/13/2019,,L,240,104,38,95,40,11,30,36.7,17,22,77.3,7,33,40,24,10,7,18,22,-17
IND,IND vs. BOS,4/21/2019,,L,240,106,36,88,40.9,10,28,35.7,24,28,85.7,11,32,43,18,5,2,12,25,-4
IND,IND vs. BOS,4/19/2019,,L,240,96,34,81,42,11,30,36.7,17,23,73.9,8,32,40,20,9,4,11,19,-8
IND,IND @ BOS,4/17/2019,,L,240,91,36,81,44.4,13,34,38.2,6,10,60,4,32,36,23,11,3,12,16,-8
IND,IND @ BOS,4/14/2019,,L,240,74,28,84,33.3,6,27,22.2,12,21,57.1,9,33,42,22,8,5,13,20,-10
HOU,HOU vs. GSW,5/6/2019,,W,240,112,39,89,43.8,17,50,34,17,24,70.8,13,37,50,18,6,6,14,23,4
HOU,HOU vs. GSW,5/4/2019,,W,265,126,45,93,48.4,18,42,42.9,18,26,69.2,17,38,55,20,4,6,16,24,5
HOU,HOU @ GSW,4/30/2019,,L,240,109,36,77,46.8,17,40,42.5,20,25,80,10,31,41,17,5,2,18,21,-6
HOU,HOU @ GSW,4/28/2019,,L,240,100,31,74,41.9,14,47,29.8,24,29,82.8,3,23,26,14,14,3,16,21,-4
HOU,HOU vs. UTA,4/24/2019,,W,240,100,36,81,44.4,13,37,35.1,15,22,68.2,9,37,46,17,12,12,17,21,7
HOU,HOU @ UTA,4/22/2019,,L,240,91,28,79,35.4,17,46,37,18,24,75,9,26,35,14,9,4,16,23,-16
HOU,HOU @ UTA,4/20/2019,,W,240,104,33,86,38.4,15,45,33.3,23,34,67.6,9,43,52,19,11,4,13,25,3
HOU,HOU vs. UTA,4/17/2019,,W,240,118,38,80,47.5,17,42,40.5,25,30,83.3,8,38,46,17,8,9,18,18,20
HOU,HOU vs. UTA,4/14/2019,,W,240,122,48,95,50.5,15,41,36.6,11,12,91.7,8,34,42,25,6,6,12,20,32
GSW,GSW @ HOU,5/6/2019,,L,240,108,42,90,46.7,8,33,24.2,16,23,69.6,8,35,43,24,6,2,11,21,-4
GSW,GSW @ HOU,5/4/2019,,L,265,121,42,95,44.2,14,33,42.4,23,29,79.3,7,28,35,27,6,6,8,22,-5
GSW,GSW vs. HOU,4/30/2019,,W,240,115,42,91,46.2,11,36,30.6,20,24,83.3,18,27,45,24,10,5,12,23,6
GSW,GSW vs. HOU,4/28/2019,,W,240,104,38,75,50.7,7,22,31.8,21,27,77.8,8,30,38,24,7,3,20,24,4
GSW,GSW @ LAC,4/26/2019,,W,240,129,47,89,52.8,10,30,33.3,25,31,80.6,7,39,46,32,6,9,10,24,19
GSW,GSW vs. LAC,4/24/2019,,L,240,121,43,96,44.8,15,39,38.5,20,22,90.9,15,24,39,31,7,3,8,23,-8
GSW,GSW @ LAC,4/21/2019,,W,240,113,42,89,47.2,12,31,38.7,17,19,89.5,11,38,49,27,5,2,13,27,8
GSW,GSW @ LAC,4/18/2019,,W,240,132,51,93,54.8,15,35,42.9,15,18,83.3,10,40,50,35,4,11,12,28,27
GSW,GSW vs. LAC,4/15/2019,,L,240,131,40,75,53.3,11,28,39.3,40,45,88.9,7,31,38,31,11,6,22,31,-4
GSW,GSW vs. LAC,4/13/2019,,W,240,121,45,92,48.9,14,30,46.7,17,20,85,12,42,54,31,9,14,21,22,17
DET,DET vs. MIL,4/22/2019,,L,240,104,41,100,41,13,34,38.2,9,12,75,10,26,36,26,8,1,11,31,-23
DET,DET vs. MIL,4/20/2019,,L,240,103,37,96,38.5,11,36,30.6,18,24,75,15,29,44,21,9,6,9,24,-16
DET,DET @ MIL,4/17/2019,,L,240,99,37,99,37.4,12,36,33.3,13,17,76.5,11,32,43,23,5,7,9,21,-21
DET,DET @ MIL,4/14/2019,,L,240,86,35,92,38,8,27,29.6,8,13,61.5,7,39,46,22,7,2,13,21,-35
DEN,DEN @ POR,5/5/2019,,W,240,116,40,92,43.5,11,25,44,25,28,89.3,17,28,45,21,7,4,10,22,4
DEN,DEN @ POR,5/3/2019,,L,340,137,54,119,45.4,15,42,35.7,14,20,70,24,42,66,28,11,8,21,27,-3
DEN,DEN vs. POR,5/1/2019,,L,240,90,34,98,34.7,6,29,20.7,16,26,61.5,23,35,58,20,6,5,9,19,-7
DEN,DEN vs. POR,4/29/2019,,W,240,121,41,81,50.6,12,29,41.4,27,31,87.1,7,27,34,22,12,7,13,22,8
DEN,DEN vs. SAS,4/27/2019,,W,240,90,35,88,39.8,2,20,10,18,23,78.3,13,40,53,21,3,8,6,19,4
DEN,DEN @ SAS,4/25/2019,,L,240,103,44,96,45.8,6,24,25,9,12,75,12,25,37,26,5,3,7,18,-17
DEN,DEN vs. SAS,4/23/2019,,W,240,108,39,78,50,14,33,42.4,16,20,80,7,42,49,25,4,6,14,21,18
DEN,DEN @ SAS,4/20/2019,,W,240,117,40,89,44.9,15,31,48.4,22,24,91.7,11,34,45,25,4,2,8,22,14
DEN,DEN @ SAS,4/18/2019,,L,240,108,42,81,51.9,15,29,51.7,9,17,52.9,10,27,37,31,3,1,13,21,-10
DEN,DEN vs. SAS,4/16/2019,,W,240,114,43,89,48.3,10,24,41.7,18,26,69.2,7,34,41,29,5,2,6,21,9
DEN,DEN vs. SAS,4/13/2019,,L,240,96,37,88,42,6,28,21.4,16,24,66.7,13,33,46,25,8,3,10,18,-5
BKN,BKN @ PHI,4/23/2019,,L,240,100,36,93,38.7,9,31,29,19,25,76,9,32,41,26,10,4,15,13,-22
BKN,BKN vs. PHI,4/20/2019,,L,240,108,36,90,40,12,38,31.6,24,31,77.4,12,29,41,23,10,4,14,26,-4
BKN,BKN vs. PHI,4/18/2019,,L,240,115,39,96,40.6,8,39,20.5,29,35,82.9,13,30,43,12,6,2,16,24,-16
BKN,BKN @ PHI,4/15/2019,,L,240,123,43,90,47.8,15,36,41.7,22,29,75.9,12,20,32,20,3,2,14,24,-22
BKN,BKN @ PHI,4/13/2019,,W,240,111,38,88,43.2,11,26,42.3,24,26,92.3,10,35,45,15,9,2,12,27,9
BOS,BOS vs. MIL,5/6/2019,,L,240,101,34,90,37.8,9,41,22,24,30,80,9,42,51,25,4,5,12,20,-12
BOS,BOS vs. MIL,5/3/2019,,L,240,116,35,81,43.2,16,40,40,30,32,93.8,6,38,44,24,9,3,18,27,-7
BOS,BOS @ MIL,4/30/2019,,L,240,102,34,86,39.5,10,28,35.7,24,27,88.9,7,38,45,19,5,2,13,23,-21
BOS,BOS @ MIL,4/28/2019,,W,240,112,47,87,54,13,31,41.9,5,8,62.5,3,48,51,25,5,11,13,21,22
BOS,BOS @ IND,4/21/2019,,W,240,110,36,78,46.2,11,28,39.3,27,34,79.4,7,36,43,18,7,1,17,23,4
BOS,BOS @ IND,4/19/2019,,W,240,104,38,81,46.9,15,34,44.1,13,22,59.1,9,36,45,23,4,4,13,19,8
BOS,BOS vs. IND,4/17/2019,,W,240,99,40,84,47.6,11,28,39.3,8,9,88.9,7,41,48,22,3,5,14,16,8
BOS,BOS vs. IND,4/14/2019,,W,240,84,28,77,36.4,10,28,35.7,18,22,81.8,7,48,55,18,8,2,20,20,10
